description,iSIC_code,naf_code
Undifferentiated service-producing activities of private households for own use,9820,98.20Z
Activities of extraterritorial organizations and bodies,9900,99.00Z
Raising of cattle and buffaloes,0141,01.42
"Quarrying of stone, sand and clay",0810,08.12
Processing and preserving of meat,1010,10.12
Processing and preserving of fruit and vegetables,1030,10.32
Manufacture of vegetable and animal oils and fats,1040,10.41B
Manufacture of dairy products,1050,10.51B
Manufacture of grain mill products,1061,10.61B
Manufacture of bakery products,1071,10.71B
"Manufacture of cocoa, chocolate and sugar confectionery",1073,10.83
Manufacture of other food products n.e.c.,1079,10.84Z
Manufacture of prepared animal feeds,1080,10.92
Manufacture of wines,1102,11.02B
Manufacture of malt liquors and malt,1103,11.06
Manufacture of soft drinks; production of mineral waters and other bottled waters,1104,11.07B
"Manufacture of wearing apparel, except fur apparel",1410,14.12
Manufacture of knitted and crocheted apparel,1430,14.39
Sawmilling and planing of wood,1610,16.10B
Manufacture of veneer sheets and wood-based panels,1621,16.22
"Manufacture of pulp, paper and paperboard",1701,17.12
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1702,17.21B
Manufacture of other articles of paper and paperboard,1709,17.22Z
Printing,1811,18.12
Service activities related to printing,1812,18.14
Manufacture of basic chemicals,2011,20.12
Manufacture of plastics and synthetic rubber in primary forms,2013,20.17
"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2023,20.42
Manufacture of other chemical products n.e.c.,2029,20.51
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2100,21.2
Manufacture of plastics products,2220,22.22
Manufacture of glass and glass products,2310,23.12
Manufacture of other porcelain and ceramic products,2393,23.32
"Manufacture of cement, lime and plaster",2394,23.51Z
"Manufacture of articles of concrete, cement and plaster",2395,23.61Z
"Cutting, shaping and finishing of stone",2396,23.70Z
Manufacture of other non-metallic mineral products n.e.c.,2399,23.91
Manufacture of basic precious and other non-ferrous metals,2420,24.4
Casting of metals,243,24.31Z
Casting of iron and steel,2431,24.52
Manufacture of structural metal products,2511,25.12
"Manufacture of steam generators, except central heating hot water boilers",2513,25.30Z
"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591,25.50B
Treatment and coating of metals; machining,2592,25.61Z
"Manufacture of cutlery, hand tools and general hardware",2593,25.71Z
Manufacture of other fabricated metal products n.e.c.,2599,25.91
Manufacture of electronic components and boards,2610,26.12
"Manufacture of measuring, testing, navigating and control equipment",2651,26.51B
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2710,27.12
Manufacture of domestic appliances,2750,27.52
"Manufacture of other pumps, compressors, taps and valves",2813,28.14
Manufacture of other general-purpose machinery,2819,28.25Z
Manufacture of metal-forming machinery and machine tools,2822,28.49
Manufacture of other special-purpose machinery,2829,28.95Z
Manufacture of parts and accessories for motor vehicles,2930,29.32
Manufacture of furniture,3100,31.02
Other manufacturing,32,32.11
Manufacture of medical and dental instruments and supplies,3250,32.50B
Other manufacturing n.e.c.,3290,32.91Z
"Repair of transport equipment, except motor vehicles",3315,33.16
Installation of industrial machinery and equipment,3320,33.20B
"Electric power generation, transmission and distribution",3510,35.12
Manufacture of gas; distribution of gaseous fuels through mains,3520,35.22
Materials recovery,3830,38.32
Construction of buildings,4100,41.10B
Construction of roads and railways,4210,42.12
Construction of utility projects,4220,42.21Z
Construction of other civil engineering projects,4290,42.91Z
Site preparation,4312,43.12B
Electrical installation,4321,43.21B
"Plumbing, heat and air-conditioning installation",4322,43.22B
Other construction installation,4329,43.29B
Building completion and finishing,4330,43.32
Other specialized construction activities,4390,43.91B
Sale of motor vehicles,4510,45.19
Maintenance and repair of motor vehicles,4520,45.20B
Sale of motor vehicle parts and accessories,4530,45.32
Wholesale on a fee or contract basis,4610,46.12
Wholesale of agricultural raw materials and live animals,4620,46.22
"Wholesale of food, beverages and tobacco",4630,46.32
"Wholesale of textiles, clothing and footwear",4641,46.42
Wholesale of other machinery and equipment,4659,46.62
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.73B
"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711,47.11B
Other retail sale in non-specialized stores,4719,47.19B
Retail sale of food in specialized stores,4721,47.22
"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741,47.42
"Retail sale of hardware, paints and glass in specialized stores",4752,47.52B
"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",4759,47.59
"Retail sale of books, newspapers and stationary in specialized stores",4761,47.62
"Retail sale of clothing, footwear and leather articles in specialized stores",4771,47.72
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.74
Other retail sale of new goods in specialized stores,4773,47.78B
Retail sale via mail order houses or via Internet,4791,47.91B
"Other retail sale not in stores, stalls or markets",4799,47.99B
Urban and suburban passenger land transport,4921,49.32
Other passenger land transport,4922,49.39B
Freight transport by road,4923,49.41B
Freight air transport,5120,51.22
Warehousing and storage,5210,52.10B
Cargo handling,5224,52.24B
Other transportation support activities,5229,52.29B
Short term accommodation activities,5510,55.2
Restaurants and mobile food service activities,5610,56.10B
Other food service activities,5629,56.29B
"Publishing of newspapers, journals and periodicals",5813,58.14
Software publishing,5820,58.29
"Motion picture, video and television programme production activities",5911,59.11B
"Motion picture, video and television programme distribution activities",5913,59.13B
Television programming and broadcasting activities,6020,60.20B
Computer consultancy and computer facilities management activities,6202,62.02B
Other activities auxiliary to financial service activities,6619,66.19B
Real estate activities with own or leased property,6810,68.2
Real estate activities on a fee or contract basis,6820,68.32
Management consultancy activities,7020,70.22
Architectural and engineering activities and related technical consultancy,7110,71.12
Technical testing and analysis,7120,71.20B
Research and experimental development on natural sciences and engineering,7210,72.19
Advertising,7310,73.12
Photographic activities,7420,74.3
"Other professional, scientific and technical activities n.e.c.",7490,74.90B
Renting and leasing of motor vehicles,7710,77.11B
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.31Z
Other building and industrial cleaning activities,8129,81.29
Public order and safety activities,8423,84.23Z
Compulsory social security activities,8430,84.30B
Pre-primary and primary education,8510,85.2
Higher education,8530,85.42
Cultural education,8542,85.53
Other education n.e.c.,8549,85.59B
Medical and dental practice activities,8620,86.22
Other human health activities,8690,86.90B
Residential nursing care facilities,8710,87.10B
"Residential care activities for mental retardation, mental health and substance abuse",8720,87.20B
Residential care activities for the elderly and disabled,8730,87.30B
Other residential care activities,8790,87.90B
Social work activities without accommodation for the elderly and disabled,8810,88.10B
Other social work activities without accommodation,8890,88.91A
"Creative, arts and entertainment activities",9000,90.02
Museums activities and operation of historical sites and buildings,9102,91.03
Activities of sports clubs,9312,93.13
Washing and (dry-) cleaning of textile and fur products,9601,96.01B
Hairdressing and other beauty treatment,9602,96.02B
Funeral and related activities,9603,96.04
Raising of cattle and buffaloes,0141,01.42Z
"Quarrying of stone, sand and clay",0810,08.12Z
Processing and preserving of meat,1010,10.12Z
Processing and preserving of fruit and vegetables,1030,10.32Z
Manufacture of vegetable and animal oils and fats,1040,10.42
Manufacture of dairy products,1050,10.51C
Manufacture of bakery products,1071,10.71C
"Manufacture of cocoa, chocolate and sugar confectionery",1073,10.83Z
Manufacture of other food products n.e.c.,1079,10.85
Manufacture of prepared animal feeds,1080,10.92Z
Manufacture of wines,1102,11.03
Manufacture of malt liquors and malt,1103,11.06Z
"Manufacture of wearing apparel, except fur apparel",1410,14.12Z
Manufacture of knitted and crocheted apparel,1430,14.39Z
Manufacture of veneer sheets and wood-based panels,1621,16.22Z
"Manufacture of pulp, paper and paperboard",1701,17.12Z
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1702,17.21C
Manufacture of other articles of paper and paperboard,1709,17.23
Printing,1811,18.12Z
Service activities related to printing,1812,18.14Z
Manufacture of basic chemicals,2011,20.12Z
Manufacture of plastics and synthetic rubber in primary forms,2013,20.17Z
"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2023,20.42Z
Manufacture of other chemical products n.e.c.,2029,20.51Z
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2100,21.20
Manufacture of plastics products,2220,22.22Z
Manufacture of glass and glass products,2310,23.12Z
Manufacture of other porcelain and ceramic products,2393,23.32Z
"Manufacture of cement, lime and plaster",2394,23.52
"Manufacture of articles of concrete, cement and plaster",2395,23.62
Manufacture of other non-metallic mineral products n.e.c.,2399,23.91Z
Manufacture of basic precious and other non-ferrous metals,2420,24.41
Casting of metals,243,24.32
Casting of iron and steel,2431,24.52Z
Manufacture of structural metal products,2511,25.12Z
Treatment and coating of metals; machining,2592,25.62
"Manufacture of cutlery, hand tools and general hardware",2593,25.72
Manufacture of other fabricated metal products n.e.c.,2599,25.91Z
Manufacture of electronic components and boards,2610,26.12Z
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2710,27.12Z
Manufacture of domestic appliances,2750,27.52Z
"Manufacture of other pumps, compressors, taps and valves",2813,28.14Z
Manufacture of other general-purpose machinery,2819,28.29A
Manufacture of metal-forming machinery and machine tools,2822,28.49Z
Manufacture of other special-purpose machinery,2829,28.96
Manufacture of parts and accessories for motor vehicles,2930,29.32Z
Manufacture of furniture,3100,31.02Z
Other manufacturing,32,32.11Z
Other manufacturing n.e.c.,3290,32.99Z
"Repair of transport equipment, except motor vehicles",3315,33.16Z
Installation of industrial machinery and equipment,3320,33.20C
"Electric power generation, transmission and distribution",3510,35.12Z
Manufacture of gas; distribution of gaseous fuels through mains,3520,35.22Z
Materials recovery,3830,38.32Z
Construction of buildings,4100,41.10C
Construction of roads and railways,4210,42.12Z
Construction of utility projects,4220,42.22Z
Construction of other civil engineering projects,4290,42.99Z
Site preparation,4312,43.13
Building completion and finishing,4330,43.32A
Other specialized construction activities,4390,43.99
Sale of motor vehicles,4510,45.19Z
Sale of motor vehicle parts and accessories,4530,45.32Z
Wholesale on a fee or contract basis,4610,46.12A
Wholesale of agricultural raw materials and live animals,4620,46.22Z
"Wholesale of food, beverages and tobacco",4630,46.32A
"Wholesale of textiles, clothing and footwear",4641,46.42Z
Wholesale of other machinery and equipment,4659,46.62Z
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.74
"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711,47.11C
Retail sale of food in specialized stores,4721,47.22Z
"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741,47.42Z
"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",4759,47.59A
"Retail sale of books, newspapers and stationary in specialized stores",4761,47.62Z
"Retail sale of clothing, footwear and leather articles in specialized stores",4771,47.72A
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.74Z
Other retail sale of new goods in specialized stores,4773,47.78C
Urban and suburban passenger land transport,4921,49.32Z
Other passenger land transport,4922,49.39C
Freight transport by road,4923,49.41C
Freight air transport,5120,51.22Z
Short term accommodation activities,5510,55.20
Restaurants and mobile food service activities,5610,56.10C
"Publishing of newspapers, journals and periodicals",5813,58.14Z
Software publishing,5820,58.29A
"Motion picture, video and television programme production activities",5911,59.11C
Computer consultancy and computer facilities management activities,6202,62.03
Real estate activities with own or leased property,6810,68.20
Real estate activities on a fee or contract basis,6820,68.32A
Management consultancy activities,7020,70.22Z
Architectural and engineering activities and related technical consultancy,7110,71.12A
Research and experimental development on natural sciences and engineering,7210,72.19Z
Advertising,7310,73.12Z
Photographic activities,7420,74.30
Renting and leasing of motor vehicles,7710,77.12
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.32
Other building and industrial cleaning activities,8129,81.29A
Public order and safety activities,8423,84.24Z
Compulsory social security activities,8430,84.30C
Pre-primary and primary education,8510,85.20
Higher education,8530,85.42Z
Cultural education,8542,85.53Z
Medical and dental practice activities,8620,86.22A
Other human health activities,8690,86.90C
Residential nursing care facilities,8710,87.10C
Social work activities without accommodation for the elderly and disabled,8810,88.10C
Other social work activities without accommodation,8890,88.91B
"Creative, arts and entertainment activities",9000,90.02Z
Museums activities and operation of historical sites and buildings,9102,91.03Z
Activities of sports clubs,9312,93.13Z
Repair of other personal and household goods,9529,95.29Z
Funeral and related activities,9603,96.04Z
Processing and preserving of meat,1010,10.13
Processing and preserving of fruit and vegetables,1030,10.39
Manufacture of vegetable and animal oils and fats,1040,10.42Z
Manufacture of dairy products,1050,10.51D
Manufacture of bakery products,1071,10.71D
Manufacture of other food products n.e.c.,1079,10.85Z
Manufacture of wines,1102,11.03Z
"Manufacture of wearing apparel, except fur apparel",1410,14.13
Manufacture of other articles of paper and paperboard,1709,17.23Z
Manufacture of basic chemicals,2011,20.13
Manufacture of other chemical products n.e.c.,2029,20.52
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2100,21.20Z
Manufacture of plastics products,2220,22.23
Manufacture of glass and glass products,2310,23.13
Manufacture of other porcelain and ceramic products,2393,23.4
"Manufacture of cement, lime and plaster",2394,23.52Z
"Manufacture of articles of concrete, cement and plaster",2395,23.62Z
Manufacture of other non-metallic mineral products n.e.c.,2399,23.99Z
Manufacture of basic precious and other non-ferrous metals,2420,24.41Z
Casting of metals,243,24.32Z
Casting of iron and steel,2431,24.53
Manufacture of structural metal products,2511,25.2
Treatment and coating of metals; machining,2592,25.62A
"Manufacture of cutlery, hand tools and general hardware",2593,25.72Z
Manufacture of other fabricated metal products n.e.c.,2599,25.92
Manufacture of other general-purpose machinery,2819,28.29B
Manufacture of other special-purpose machinery,2829,28.96Z
Manufacture of furniture,3100,31.03
"Repair of transport equipment, except motor vehicles",3315,33.17
Installation of industrial machinery and equipment,3320,33.20D
"Electric power generation, transmission and distribution",3510,35.13
Manufacture of gas; distribution of gaseous fuels through mains,3520,35.23
Construction of buildings,4100,41.10D
Construction of roads and railways,4210,42.13
Site preparation,4312,43.13Z
Building completion and finishing,4330,43.32B
Other specialized construction activities,4390,43.99A
Wholesale on a fee or contract basis,4610,46.12B
Wholesale of agricultural raw materials and live animals,4620,46.23
"Wholesale of food, beverages and tobacco",4630,46.32B
"Wholesale of textiles, clothing and footwear",4641,46.43
Wholesale of other machinery and equipment,4659,46.63
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.74A
"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711,47.11D
Retail sale of food in specialized stores,4721,47.23
"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",4759,47.59B
"Retail sale of clothing, footwear and leather articles in specialized stores",4771,47.72B
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.75
Freight transport by road,4923,49.42
Short term accommodation activities,5510,55.20Z
Software publishing,5820,58.29B
Computer consultancy and computer facilities management activities,6202,62.03Z
Real estate activities with own or leased property,6810,68.20A
Real estate activities on a fee or contract basis,6820,68.32B
Architectural and engineering activities and related technical consultancy,7110,71.12B
Photographic activities,7420,74.30Z
Renting and leasing of motor vehicles,7710,77.12Z
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.32Z
Other building and industrial cleaning activities,8129,81.29B
Public order and safety activities,8423,84.25
Pre-primary and primary education,8510,85.20Z
Medical and dental practice activities,8620,86.22B
Other human health activities,8690,86.90D
Other social work activities without accommodation,8890,88.99A
"Creative, arts and entertainment activities",9000,90.03
Processing and preserving of meat,1010,10.13A
Processing and preserving of fruit and vegetables,1030,10.39A
Manufacture of dairy products,1050,10.52
Manufacture of bakery products,1071,10.72
Manufacture of other food products n.e.c.,1079,10.86
Manufacture of wines,1102,11.04
"Manufacture of wearing apparel, except fur apparel",1410,14.13Z
Manufacture of other articles of paper and paperboard,1709,17.24
Manufacture of basic chemicals,2011,20.13A
Manufacture of other chemical products n.e.c.,2029,20.52Z
Manufacture of plastics products,2220,22.23Z
Manufacture of glass and glass products,2310,23.13Z
Manufacture of other porcelain and ceramic products,2393,23.41
"Manufacture of articles of concrete, cement and plaster",2395,23.63
Manufacture of basic precious and other non-ferrous metals,2420,24.42
Casting of metals,243,24.33
Casting of iron and steel,2431,24.53Z
Manufacture of structural metal products,2511,25.21
Treatment and coating of metals; machining,2592,25.62B
"Manufacture of cutlery, hand tools and general hardware",2593,25.73
Manufacture of other fabricated metal products n.e.c.,2599,25.92Z
Manufacture of other special-purpose machinery,2829,28.99A
Manufacture of furniture,3100,31.03Z
"Repair of transport equipment, except motor vehicles",3315,33.17Z
"Electric power generation, transmission and distribution",3510,35.13Z
Manufacture of gas; distribution of gaseous fuels through mains,3520,35.23Z
Construction of buildings,4100,41.2
Construction of roads and railways,4210,42.13A
Building completion and finishing,4330,43.32C
Other specialized construction activities,4390,43.99B
Wholesale on a fee or contract basis,4610,46.13
Wholesale of agricultural raw materials and live animals,4620,46.23Z
"Wholesale of food, beverages and tobacco",4630,46.32C
"Wholesale of textiles, clothing and footwear",4641,46.43Z
Wholesale of other machinery and equipment,4659,46.63Z
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.74B
"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711,47.11E
Retail sale of food in specialized stores,4721,47.23Z
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.75Z
Freight transport by road,4923,49.42Z
Software publishing,5820,58.29C
Real estate activities with own or leased property,6810,68.20B
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.33
Public order and safety activities,8423,84.25Z
Medical and dental practice activities,8620,86.22C
Other human health activities,8690,86.90E
Other social work activities without accommodation,8890,88.99B
"Creative, arts and entertainment activities",9000,90.03A
Processing and preserving of meat,1010,10.13B
Processing and preserving of fruit and vegetables,1030,10.39B
Manufacture of dairy products,1050,10.52Z
Manufacture of bakery products,1071,10.72Z
Manufacture of other food products n.e.c.,1079,10.86Z
Manufacture of wines,1102,11.04Z
"Manufacture of wearing apparel, except fur apparel",1410,14.14
Manufacture of other articles of paper and paperboard,1709,17.24Z
Manufacture of basic chemicals,2011,20.13B
Manufacture of other chemical products n.e.c.,2029,20.53
Manufacture of plastics products,2220,22.29
Manufacture of glass and glass products,2310,23.14
Manufacture of other porcelain and ceramic products,2393,23.41Z
"Manufacture of articles of concrete, cement and plaster",2395,23.63Z
Manufacture of basic precious and other non-ferrous metals,2420,24.42Z
Casting of metals,243,24.33Z
Manufacture of structural metal products,2511,25.21Z
"Manufacture of cutlery, hand tools and general hardware",2593,25.73A
Manufacture of other fabricated metal products n.e.c.,2599,25.93
Manufacture of other special-purpose machinery,2829,28.99B
Manufacture of furniture,3100,31.09
"Electric power generation, transmission and distribution",3510,35.14
Construction of buildings,4100,41.20
Construction of roads and railways,4210,42.13B
Building completion and finishing,4330,43.33
Other specialized construction activities,4390,43.99C
Wholesale on a fee or contract basis,4610,46.13Z
Wholesale of agricultural raw materials and live animals,4620,46.24
"Wholesale of food, beverages and tobacco",4630,46.33
"Wholesale of textiles, clothing and footwear",4641,46.44
Wholesale of other machinery and equipment,4659,46.64
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.75
"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711,47.11F
Retail sale of food in specialized stores,4721,47.24
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.76
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.33Z
Medical and dental practice activities,8620,86.23
Other human health activities,8690,86.90F
"Creative, arts and entertainment activities",9000,90.03B
Manufacture of bakery products,1071,10.73
"Manufacture of wearing apparel, except fur apparel",1410,14.14Z
Manufacture of other articles of paper and paperboard,1709,17.29Z
Manufacture of basic chemicals,2011,20.14
Manufacture of other chemical products n.e.c.,2029,20.53Z
Manufacture of plastics products,2220,22.29A
Manufacture of glass and glass products,2310,23.14Z
Manufacture of other porcelain and ceramic products,2393,23.42
"Manufacture of articles of concrete, cement and plaster",2395,23.64
Manufacture of basic precious and other non-ferrous metals,2420,24.43
Casting of metals,243,24.34
"Manufacture of cutlery, hand tools and general hardware",2593,25.73B
Manufacture of other fabricated metal products n.e.c.,2599,25.93Z
Manufacture of furniture,3100,31.09A
"Electric power generation, transmission and distribution",3510,35.14Z
Construction of buildings,4100,41.20A
Building completion and finishing,4330,43.33Z
Other specialized construction activities,4390,43.99D
Wholesale on a fee or contract basis,4610,46.14
Wholesale of agricultural raw materials and live animals,4620,46.24Z
"Wholesale of food, beverages and tobacco",4630,46.33Z
"Wholesale of textiles, clothing and footwear",4641,46.44Z
Wholesale of other machinery and equipment,4659,46.64Z
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.75Z
Retail sale of food in specialized stores,4721,47.24Z
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.76Z
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.34
Medical and dental practice activities,8620,86.23Z
"Creative, arts and entertainment activities",9000,90.04
Manufacture of bakery products,1071,10.73Z
"Manufacture of wearing apparel, except fur apparel",1410,14.19
Manufacture of basic chemicals,2011,20.14Z
Manufacture of other chemical products n.e.c.,2029,20.59Z
Manufacture of plastics products,2220,22.29B
Manufacture of glass and glass products,2310,23.19
Manufacture of other porcelain and ceramic products,2393,23.42Z
"Manufacture of articles of concrete, cement and plaster",2395,23.64Z
Manufacture of basic precious and other non-ferrous metals,2420,24.43Z
Casting of metals,243,24.34Z
Manufacture of other fabricated metal products n.e.c.,2599,25.94
Manufacture of furniture,3100,31.09B
Construction of buildings,4100,41.20B
Building completion and finishing,4330,43.34
Other specialized construction activities,4390,43.99E
Wholesale on a fee or contract basis,4610,46.14Z
"Wholesale of food, beverages and tobacco",4630,46.34
"Wholesale of textiles, clothing and footwear",4641,46.45
Wholesale of other machinery and equipment,4659,46.65
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.76
Retail sale of food in specialized stores,4721,47.29
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.77
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.34Z
"Creative, arts and entertainment activities",9000,90.04Z
"Manufacture of wearing apparel, except fur apparel",1410,14.19Z
Manufacture of glass and glass products,2310,23.19Z
Manufacture of other porcelain and ceramic products,2393,23.43
"Manufacture of articles of concrete, cement and plaster",2395,23.65
Manufacture of basic precious and other non-ferrous metals,2420,24.44
Casting of metals,243,24.5
Manufacture of other fabricated metal products n.e.c.,2599,25.94Z
Building completion and finishing,4330,43.34Z
Wholesale on a fee or contract basis,4610,46.15
"Wholesale of food, beverages and tobacco",4630,46.34Z
"Wholesale of textiles, clothing and footwear",4641,46.45Z
Wholesale of other machinery and equipment,4659,46.65Z
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.76Z
Retail sale of food in specialized stores,4721,47.29Z
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.77Z
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.35
Manufacture of other porcelain and ceramic products,2393,23.43Z
"Manufacture of articles of concrete, cement and plaster",2395,23.65Z
Manufacture of basic precious and other non-ferrous metals,2420,24.44Z
Building completion and finishing,4330,43.39
Wholesale on a fee or contract basis,4610,46.15Z
"Wholesale of food, beverages and tobacco",4630,46.35
"Wholesale of textiles, clothing and footwear",4641,46.46
Wholesale of other machinery and equipment,4659,46.66
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.35Z
Manufacture of other porcelain and ceramic products,2393,23.44
"Manufacture of articles of concrete, cement and plaster",2395,23.69
Manufacture of basic precious and other non-ferrous metals,2420,24.46
Manufacture of other fabricated metal products n.e.c.,2599,25.99A
Building completion and finishing,4330,43.39Z
Wholesale on a fee or contract basis,4610,46.16
"Wholesale of food, beverages and tobacco",4630,46.35Z
"Wholesale of textiles, clothing and footwear",4641,46.46Z
Wholesale of other machinery and equipment,4659,46.66Z
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.39Z
Manufacture of other porcelain and ceramic products,2393,23.44Z
"Manufacture of articles of concrete, cement and plaster",2395,23.69Z
Manufacture of basic precious and other non-ferrous metals,2420,24.46Z
Manufacture of other fabricated metal products n.e.c.,2599,25.99B
Wholesale on a fee or contract basis,4610,46.16Z
"Wholesale of food, beverages and tobacco",4630,46.36
"Wholesale of textiles, clothing and footwear",4641,46.47
Manufacture of other porcelain and ceramic products,2393,23.49
Wholesale on a fee or contract basis,4610,46.17
"Wholesale of food, beverages and tobacco",4630,46.36Z
"Wholesale of textiles, clothing and footwear",4641,46.47Z
Wholesale of other machinery and equipment,4659,46.69A
Manufacture of other porcelain and ceramic products,2393,23.49Z
Wholesale on a fee or contract basis,4610,46.17A
"Wholesale of food, beverages and tobacco",4630,46.37
"Wholesale of textiles, clothing and footwear",4641,46.48
Wholesale of other machinery and equipment,4659,46.69B
Wholesale on a fee or contract basis,4610,46.17B
"Wholesale of food, beverages and tobacco",4630,46.37Z
"Wholesale of textiles, clothing and footwear",4641,46.48Z
Wholesale of other machinery and equipment,4659,46.69C
Wholesale on a fee or contract basis,4610,46.18
"Wholesale of food, beverages and tobacco",4630,46.38
Wholesale on a fee or contract basis,4610,46.18Z
"Wholesale of food, beverages and tobacco",4630,46.38A
"Manufacture of wearing apparel, except fur apparel",1410,
Manufacture of glass and glass products,2310,
Manufacture of other porcelain and ceramic products,2393,
"Manufacture of articles of concrete, cement and plaster",2395,
Manufacture of basic precious and other non-ferrous metals,2420,
Casting of metals,243,
Manufacture of other fabricated metal products n.e.c.,2599,
Building completion and finishing,4330,
Wholesale on a fee or contract basis,4610,46.19
"Wholesale of food, beverages and tobacco",4630,46.38B
"Wholesale of textiles, clothing and footwear",4641,
Wholesale of other machinery and equipment,4659,
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,
Retail sale of food in specialized stores,4721,
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,
"Renting and leasing of other machinery, equipment and tangible goods",7730,
Wholesale on a fee or contract basis,4610,46.19A
"Wholesale of food, beverages and tobacco",4630,46.39
Wholesale on a fee or contract basis,4610,46.19B
"Wholesale of food, beverages and tobacco",4630,46.39A
"Wholesale of food, beverages and tobacco",4630,46.39B
